store_id,sku,store_soh
S064,SKU00009,14
S003,SKU00056,5
S044,SKU00006,16
S034,SKU00035,17
S054,SKU00016,7
S009,SKU00063,2
S013,SKU00078,4
S057,SKU00077,2
S026,SKU00054,2
S043,SKU00056,4
S008,SKU00069,7
S013,SKU00062,7
S037,SKU00060,3
S044,SKU00079,0
S007,SKU00073,5
S006,SKU00033,24
S015,SKU00029,18
S052,SKU00037,5
S034,SKU00021,0
S016,SKU00064,6
S027,SKU00013,5
S048,SKU00042,10
S022,SKU00077,0
S060,SKU00020,4
S055,SKU00061,2
S019,SKU00013,18
S051,SKU00012,3
S032,SKU00047,8
S035,SKU00045,2
S019,SKU00043,3
S016,SKU00052,5
S028,SKU00035,0
S031,SKU00015,7
S032,SKU00057,0
S008,SKU00060,3
S035,SKU00055,4
S031,SKU00075,0
S008,SKU00027,11
S011,SKU00047,8
S046,SKU00025,16
S047,SKU00077,3
S057,SKU00004,7
S005,SKU00051,6
S013,SKU00024,2
S046,SKU00010,10
S056,SKU00075,0
S003,SKU00039,5
S011,SKU00057,7
S054,SKU00073,2
S031,SKU00054,1
S043,SKU00036,11
S039,SKU00035,2
S014,SKU00066,8
S002,SKU00023,20
S043,SKU00039,5
S030,SKU00023,16
S004,SKU00024,5
S024,SKU00024,12
S056,SKU00054,0
S063,SKU00034,4
S006,SKU00042,13
S003,SKU00058,0
S032,SKU00035,0
S020,SKU00071,9
S021,SKU00008,13
S061,SKU00023,10
S044,SKU00052,1
S002,SKU00065,8
S003,SKU00016,26
S010,SKU00079,9
S011,SKU00035,7
S044,SKU00076,4
S058,SKU00023,12
S032,SKU00021,0
S026,SKU00041,4
S043,SKU00016,1
S034,SKU00056,7
S030,SKU00067,1
S030,SKU00064,0
S009,SKU00071,3
S062,SKU00061,1
S008,SKU00008,14
S011,SKU00021,11
S012,SKU00037,18
S022,SKU00050,9
S042,SKU00005,2
S040,SKU00046,0
S036,SKU00064,3
S027,SKU00037,0
S035,SKU00051,1
S048,SKU00022,6
S019,SKU00037,22
S055,SKU00032,14
S005,SKU00080,10
S022,SKU00063,6
S038,SKU00023,1
S025,SKU00003,8
S007,SKU00022,4
S045,SKU00033,2
S051,SKU00038,3
S003,SKU00070,9
S041,SKU00043,4
S049,SKU00062,3
S043,SKU00070,0
S029,SKU00036,5
S053,SKU00065,2
S002,SKU00047,12
S008,SKU00040,20
S018,SKU00023,20
S003,SKU00073,4
S030,SKU00047,5
S010,SKU00064,0
S026,SKU00049,18
S043,SKU00073,1
S053,SKU00067,3
S041,SKU00068,2
S002,SKU00057,8
S015,SKU00059,5
S039,SKU00056,4
S056,SKU00041,7
S055,SKU00078,3
S013,SKU00076,9
S029,SKU00058,0
S054,SKU00015,13
S005,SKU00005,1
S001,SKU00034,1
S010,SKU00052,1
S059,SKU00047,2
S065,SKU00066,0
S041,SKU00012,10
S006,SKU00022,16
S048,SKU00046,3
S059,SKU00057,0
S019,SKU00038,14
S049,SKU00024,12
S063,SKU00002,0
S064,SKU00038,1
S033,SKU00047,0
S016,SKU00013,25
S051,SKU00004,3
S018,SKU00067,0
S018,SKU00064,6
S062,SKU00011,4
S033,SKU00057,3
S011,SKU00056,3
S020,SKU00030,16
S004,SKU00065,2
S049,SKU00006,11
S002,SKU00035,7
S015,SKU00028,12
S030,SKU00035,0
S014,SKU00003,4
S052,SKU00015,0
S050,SKU00065,0
S044,SKU00009,2
S001,SKU00069,4
S060,SKU00059,2
S012,SKU00004,3
S002,SKU00021,25
S062,SKU00032,0
S057,SKU00071,0
S009,SKU00030,12
S001,SKU00072,9
S038,SKU00047,5
S017,SKU00023,7
S052,SKU00054,2
S025,SKU00069,2
S055,SKU00006,8
S019,SKU00004,5
S038,SKU00057,2
S006,SKU00046,0
S028,SKU00016,4
S041,SKU00037,14
S033,SKU00035,8
S022,SKU00071,0
S039,SKU00058,3
S059,SKU00021,6
S044,SKU00013,7
S055,SKU00079,2
S029,SKU00073,5
S040,SKU00025,4
S062,SKU00078,3
S007,SKU00074,6
S014,SKU00034,17
S023,SKU00023,2
S028,SKU00033,13
S020,SKU00014,27
S051,SKU00063,5
S033,SKU00021,6
S013,SKU00018,3
S039,SKU00016,13
S063,SKU00040,12
S003,SKU00015,20
S017,SKU00064,1
S036,SKU00009,15
S008,SKU00024,3
S012,SKU00050,3
S015,SKU00080,1
S024,SKU00057,2
S003,SKU00075,4
S024,SKU00018,7
S038,SKU00035,10
S031,SKU00026,10
S034,SKU00042,9
S003,SKU00022,2
S009,SKU00014,7
S042,SKU00061,6
S006,SKU00007,8
S012,SKU00063,0
S023,SKU00065,4
S019,SKU00050,13
S013,SKU00009,13
S043,SKU00022,11
S050,SKU00057,0
S001,SKU00002,0
S018,SKU00053,1
S054,SKU00007,11
S041,SKU00038,1
S027,SKU00063,3
S063,SKU00032,18
S006,SKU00074,1
S011,SKU00016,4
S026,SKU00055,4
S032,SKU00033,1
S016,SKU00058,10
S019,SKU00063,1
S025,SKU00002,0
S007,SKU00049,12
S010,SKU00009,14
S029,SKU00031,8
S007,SKU00020,0
S014,SKU00048,2
S020,SKU00019,29
S045,SKU00022,6
S030,SKU00056,1
S048,SKU00025,0
S004,SKU00035,17
S024,SKU00035,3
S011,SKU00033,2
S007,SKU00025,8
S062,SKU00006,3
S013,SKU00043,2
S059,SKU00056,3
S007,SKU00010,17
S004,SKU00021,11
S063,SKU00078,3
S009,SKU00019,17
S010,SKU00013,10
S005,SKU00061,0
S061,SKU00056,2
S026,SKU00001,1
S046,SKU00080,5
S014,SKU00060,4
S057,SKU00030,5
S050,SKU00021,17
S013,SKU00068,1
S023,SKU00047,8
S006,SKU00020,7
S015,SKU00048,15
S054,SKU00049,2
S054,SKU00020,9
S021,SKU00023,5
S016,SKU00038,7
S007,SKU00029,17
S056,SKU00045,6
S022,SKU00030,5
S029,SKU00015,0
S017,SKU00053,4
S013,SKU00012,7
S045,SKU00046,11
S016,SKU00070,3
S030,SKU00036,7
S006,SKU00025,9
S007,SKU00026,0
S029,SKU00075,6
S053,SKU00056,0
S001,SKU00040,20
S006,SKU00010,12
S004,SKU00012,12
S024,SKU00012,15
S020,SKU00066,8
S008,SKU00023,0
S039,SKU00031,8
S001,SKU00011,10
S001,SKU00044,17
S047,SKU00017,9
S029,SKU00054,3
S003,SKU00007,16
S026,SKU00051,4
S037,SKU00067,3
S034,SKU00022,9
S037,SKU00064,2
S030,SKU00058,4
S061,SKU00036,1
S043,SKU00007,13
S025,SKU00011,5
S021,SKU00067,0
S023,SKU00053,2
S061,SKU00039,1
S049,SKU00057,0
S041,SKU00050,13
S003,SKU00074,7
S018,SKU00056,0
S001,SKU00032,11
S006,SKU00029,0
S058,SKU00039,5
S033,SKU00039,8
S036,SKU00037,10
S043,SKU00074,0
S008,SKU00065,9
S030,SKU00016,8
S035,SKU00002,0
S035,SKU00061,2
S044,SKU00038,15
S041,SKU00063,1
S023,SKU00021,12
S022,SKU00014,1
S058,SKU00058,4
S005,SKU00044,1
S053,SKU00036,18
S002,SKU00033,13
S013,SKU00037,18
S045,SKU00074,0
S042,SKU00078,7
S059,SKU00016,10
S040,SKU00059,7
S061,SKU00016,1
S001,SKU00078,2
S016,SKU00031,3
S039,SKU00015,11
S042,SKU00062,1
S010,SKU00037,5
S039,SKU00075,1
S031,SKU00051,0
S001,SKU00062,7
S047,SKU00014,2
S064,SKU00041,4
S059,SKU00033,10
S003,SKU00049,13
S003,SKU00020,6
S039,SKU00022,2
S015,SKU00008,8
S043,SKU00049,7
S065,SKU00060,5
S055,SKU00009,8
S018,SKU00039,6
S065,SKU00027,9
S049,SKU00043,13
S033,SKU00033,4
S008,SKU00047,4
S051,SKU00017,7
S017,SKU00056,0
S040,SKU00028,2
S061,SKU00070,2
S005,SKU00078,4
S008,SKU00057,9
S020,SKU00028,25
S018,SKU00058,4
S013,SKU00077,0
S029,SKU00041,9
S028,SKU00046,3
S055,SKU00013,6
S002,SKU00042,28
S001,SKU00024,0
S011,SKU00022,21
S021,SKU00053,5
S045,SKU00025,17
S016,SKU00015,21
S010,SKU00038,12
S035,SKU00011,3
S018,SKU00016,18
S016,SKU00075,7
S025,SKU00024,13
S003,SKU00029,3
S038,SKU00033,1
S012,SKU00017,4
S001,SKU00006,10
S009,SKU00028,20
S033,SKU00073,1
S034,SKU00074,0
S026,SKU00005,4
S003,SKU00026,1
S044,SKU00050,5
S027,SKU00017,11
S016,SKU00054,11
S019,SKU00017,12
S040,SKU00003,1
S062,SKU00018,3
S008,SKU00035,4
S035,SKU00032,4
S041,SKU00071,5
S064,SKU00017,5
S020,SKU00003,14
S063,SKU00065,3
S065,SKU00008,11
S032,SKU00046,16
S028,SKU00007,1
S007,SKU00051,0
S013,SKU00004,14
S017,SKU00036,20
S052,SKU00055,2
S017,SKU00039,5
S004,SKU00033,3
S024,SKU00033,10
S022,SKU00066,4
S051,SKU00014,8
S029,SKU00049,11
S028,SKU00074,0
S011,SKU00046,21
S018,SKU00070,9
S005,SKU00006,10
S009,SKU00003,24
S050,SKU00033,5
S006,SKU00059,3
S039,SKU00007,7
S017,SKU00058,10
S035,SKU00078,2
S005,SKU00079,1
S023,SKU00036,4
S038,SKU00042,6
S047,SKU00066,3
S017,SKU00016,12
S054,SKU00051,0
S010,SKU00031,21
S056,SKU00005,0
S034,SKU00010,6
S030,SKU00015,8
S013,SKU00042,20
S042,SKU00052,2
S032,SKU00074,6
S051,SKU00019,2
S011,SKU00007,0
S006,SKU00028,6
S002,SKU00022,8
S037,SKU00056,2
S042,SKU00076,1
S004,SKU00042,19
S013,SKU00063,9
S036,SKU00015,14
S001,SKU00076,6
S011,SKU00074,5
S061,SKU00015,1
S035,SKU00024,11
S026,SKU00072,0
S028,SKU00025,4
S050,SKU00042,0
S010,SKU00063,0
S016,SKU00041,17
S018,SKU00031,15
S007,SKU00080,6
S028,SKU00010,3
S017,SKU00070,1
S023,SKU00033,1
S012,SKU00019,20
S012,SKU00045,7
S036,SKU00054,2
S020,SKU00048,4
S008,SKU00056,5
S001,SKU00065,3
S041,SKU00017,10
S027,SKU00019,7
S033,SKU00022,4
S027,SKU00045,16
S017,SKU00073,0
S035,SKU00079,6
S019,SKU00019,1
S010,SKU00015,13
S019,SKU00045,13
S005,SKU00052,0
S028,SKU00029,2
S005,SKU00076,4
S009,SKU00048,9
S002,SKU00046,16
S011,SKU00049,16
S037,SKU00039,10
S007,SKU00005,10
S011,SKU00020,19
S020,SKU00060,2
S021,SKU00036,9
S028,SKU00026,4
S032,SKU00025,11
S021,SKU00039,1
S010,SKU00054,10
S006,SKU00080,0
S020,SKU00027,19
S051,SKU00066,0
S054,SKU00080,4
S032,SKU00010,5
S012,SKU00001,17
S038,SKU00022,16
S026,SKU00061,4
S018,SKU00015,9
S037,SKU00058,3
S003,SKU00051,10
S045,SKU00059,7
S014,SKU00023,15
S027,SKU00001,2
S011,SKU00010,11
S021,SKU00058,4
S009,SKU00060,7
S039,SKU00026,7
S043,SKU00051,2
S048,SKU00048,2
S019,SKU00001,15
S063,SKU00068,4
S029,SKU00055,1
S022,SKU00003,0
S009,SKU00027,11
S018,SKU00022,2
S017,SKU00031,1
S033,SKU00046,15
S012,SKU00066,7
S032,SKU00029,0
S042,SKU00018,7
S037,SKU00016,7
S041,SKU00014,7
S001,SKU00057,4
S002,SKU00007,1
S001,SKU00018,9
S021,SKU00016,7
S025,SKU00047,7
S054,SKU00005,6
S027,SKU00066,4
S024,SKU00022,3
S019,SKU00066,11
S011,SKU00029,11
S014,SKU00065,6
S002,SKU00074,10
S048,SKU00060,1
S030,SKU00074,4
S011,SKU00026,12
S014,SKU00067,0
S024,SKU00071,2
S049,SKU00042,12
S059,SKU00007,1
S035,SKU00076,4
S061,SKU00007,2
S061,SKU00041,8
S038,SKU00046,5
S031,SKU00061,0
S020,SKU00008,13
S059,SKU00074,2
S022,SKU00034,9
S006,SKU00048,20
S061,SKU00074,0
S037,SKU00070,2
S021,SKU00070,5
S044,SKU00017,14
S042,SKU00013,13
S041,SKU00019,11
S058,SKU00074,0
S017,SKU00015,9
S033,SKU00074,1
S009,SKU00008,3
S017,SKU00075,7
S044,SKU00030,3
S042,SKU00043,6
S001,SKU00021,18
S010,SKU00041,10
S053,SKU00007,12
S003,SKU00080,6
S015,SKU00064,10
S004,SKU00046,5
S002,SKU00020,9
S001,SKU00043,18
S015,SKU00067,11
S024,SKU00046,1
S026,SKU00011,6
S026,SKU00044,11
S030,SKU00020,7
S043,SKU00080,1
S014,SKU00047,19
S017,SKU00054,7
S025,SKU00021,1
S029,SKU00051,3
S038,SKU00007,8
S025,SKU00043,17
S050,SKU00046,0
S015,SKU00052,4
S014,SKU00057,9
S002,SKU00025,13
S022,SKU00048,10
S038,SKU00074,3
S002,SKU00010,19
S052,SKU00034,0
S061,SKU00049,13
S030,SKU00010,10
S062,SKU00004,16
S018,SKU00007,18
S018,SKU00041,11
S028,SKU00059,6
S036,SKU00017,10
S058,SKU00049,6
S057,SKU00060,1
S005,SKU00013,18
S058,SKU00020,12
S033,SKU00049,7
S003,SKU00005,21
S033,SKU00020,6
S059,SKU00025,10
S018,SKU00074,8
S008,SKU00042,19
S043,SKU00005,2
S051,SKU00003,6
S016,SKU00045,8
S061,SKU00010,14
S002,SKU00029,21
S013,SKU00017,17
S025,SKU00012,13
S030,SKU00029,0
S007,SKU00061,6
S016,SKU00055,8
S026,SKU00078,0
S031,SKU00011,10
S031,SKU00044,11
S028,SKU00051,2
S014,SKU00035,23
S033,SKU00025,9
S035,SKU00018,8
S041,SKU00066,5
S004,SKU00074,10
S022,SKU00027,1
S050,SKU00007,9
S056,SKU00040,13
S013,SKU00030,1
S026,SKU00062,4
S030,SKU00026,0
S033,SKU00010,7
S046,SKU00064,2
S010,SKU00017,9
S052,SKU00069,5
S060,SKU00052,2
S028,SKU00028,11
S050,SKU00074,2
S038,SKU00020,7
S014,SKU00021,19
S059,SKU00029,8
S052,SKU00072,4
S010,SKU00030,14
S006,SKU00008,13
S049,SKU00071,1
S035,SKU00009,5
S023,SKU00046,17
S053,SKU00010,5
S059,SKU00026,8
S047,SKU00027,8
S058,SKU00029,17
S016,SKU00001,4
S018,SKU00049,20
S019,SKU00003,23
S033,SKU00029,7
S018,SKU00020,21
S038,SKU00025,7
S011,SKU00059,2
S042,SKU00037,19
S051,SKU00034,6
S015,SKU00053,8
S058,SKU00026,14
S033,SKU00026,11
S044,SKU00045,10
S045,SKU00048,5
S034,SKU00080,1
S057,SKU00008,18
S026,SKU00024,5
S021,SKU00015,5
S031,SKU00078,5
S044,SKU00055,5
S053,SKU00029,8
S018,SKU00010,18
S011,SKU00051,9
S013,SKU00014,8
S035,SKU00043,8
S053,SKU00026,7
S049,SKU00046,1
S056,SKU00078,3
S026,SKU00006,10
S038,SKU00029,0
S022,SKU00008,13
S004,SKU00025,13
S024,SKU00025,5
S056,SKU00062,4
S024,SKU00014,7
S065,SKU00057,5
S004,SKU00010,19
S011,SKU00028,4
S026,SKU00079,5
S019,SKU00034,0
S035,SKU00068,1
S028,SKU00080,3
S064,SKU00034,9
S005,SKU00037,8
S023,SKU00074,4
S042,SKU00038,4
S057,SKU00040,10
S008,SKU00022,6
S050,SKU00010,6
S036,SKU00045,2
S018,SKU00026,2
S001,SKU00077,7
S046,SKU00053,0
S036,SKU00055,1
S004,SKU00029,10
S014,SKU00056,4
S024,SKU00029,1
S017,SKU00049,18
S061,SKU00055,6
S065,SKU00053,0
S025,SKU00077,3
S012,SKU00069,1
S013,SKU00019,21
S065,SKU00035,5
S012,SKU00072,0
S051,SKU00060,5
S031,SKU00006,10
S034,SKU00048,4
S019,SKU00069,5
S027,SKU00072,6
S054,SKU00044,10
S019,SKU00072,5
S023,SKU00049,12
S010,SKU00055,6
S036,SKU00001,9
S042,SKU00004,15
S003,SKU00061,5
S005,SKU00038,7
S041,SKU00003,4
S062,SKU00071,6
S011,SKU00080,1
S043,SKU00061,2
S015,SKU00056,6
S039,SKU00005,0
S001,SKU00004,11
S045,SKU00008,3
S008,SKU00046,24
S012,SKU00027,11
S055,SKU00017,16
S014,SKU00039,17
S027,SKU00027,8
S026,SKU00076,6
S037,SKU00041,11
S019,SKU00027,9
S030,SKU00051,6
S040,SKU00023,7
S017,SKU00026,2
S021,SKU00041,15
S052,SKU00044,8
S010,SKU00001,18
S018,SKU00055,9
S020,SKU00023,17
S033,SKU00059,0
S012,SKU00002,0
S013,SKU00066,2
S002,SKU00028,28
S023,SKU00029,7
S059,SKU00051,2
S042,SKU00050,7
S027,SKU00002,1
S052,SKU00032,0
S061,SKU00051,2
S008,SKU00007,2
S010,SKU00066,0
S009,SKU00023,3
S001,SKU00042,5
S053,SKU00059,2
S015,SKU00036,8
S014,SKU00016,6
S016,SKU00005,17
S015,SKU00039,3
S020,SKU00065,6
S032,SKU00048,7
S033,SKU00051,0
S042,SKU00063,3
S031,SKU00052,0
S020,SKU00067,0
S035,SKU00038,7
S038,SKU00059,3
S014,SKU00033,10
S007,SKU00079,1
S011,SKU00048,15
S037,SKU00049,0
S015,SKU00058,1
S003,SKU00044,15
S048,SKU00023,3
S021,SKU00049,9
S051,SKU00040,0
S052,SKU00062,1
S041,SKU00069,0
S009,SKU00067,7
S005,SKU00050,6
S015,SKU00016,23
S017,SKU00055,0
S004,SKU00059,0
S002,SKU00080,5
S024,SKU00059,3
S037,SKU00010,13
S005,SKU00063,2
S008,SKU00020,7
S026,SKU00018,4
S012,SKU00040,0
S040,SKU00047,4
S063,SKU00046,6
S020,SKU00047,21
S050,SKU00059,3
S035,SKU00004,13
S046,SKU00036,1
S012,SKU00011,8
S048,SKU00067,6
S027,SKU00040,7
S048,SKU00064,0
S059,SKU00080,6
S020,SKU00057,0
S008,SKU00025,1
S019,SKU00040,10
S041,SKU00027,8
S061,SKU00080,0
S052,SKU00024,17
S027,SKU00011,18
S008,SKU00010,24
S007,SKU00064,2
S026,SKU00009,16
S064,SKU00044,7
S009,SKU00047,22
S015,SKU00070,7
S033,SKU00080,3
S012,SKU00032,22
S030,SKU00005,6
S021,SKU00026,7
S016,SKU00069,0
S007,SKU00052,2
S009,SKU00057,8
S016,SKU00072,0
S027,SKU00032,6
S015,SKU00073,9
S040,SKU00053,0
S064,SKU00032,10
S032,SKU00008,7
S008,SKU00029,17
S020,SKU00053,7
S040,SKU00035,1
S046,SKU00016,15
S053,SKU00080,0
S057,SKU00023,10
S020,SKU00035,0
S031,SKU00018,13
S062,SKU00014,6
S001,SKU00071,7
S026,SKU00043,3
S029,SKU00044,11
S013,SKU00003,14
S056,SKU00018,5
S006,SKU00064,4
S033,SKU00005,8
S002,SKU00048,10
S017,SKU00051,5
S022,SKU00023,8
S009,SKU00053,0
S023,SKU00059,0
S060,SKU00038,0
S009,SKU00035,3
S031,SKU00009,13
S006,SKU00052,2
S018,SKU00080,5
S029,SKU00032,7
S027,SKU00062,1
